ID;Objeto;Decisão;Instância;Data Citação;Data Decisão;Status;Justiça;UF;Tribunal;Num. Litisconsortes
ESP.004.430;Objeto 25;Favorável;2;20/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.431;Objeto 9;Favorável;1;22/05/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.431;Objeto 9;Favorável;2;22/05/2014;;Ativo;Est;SP;12 VARA CÍVEL DE SANTOS;0
ESP.004.433;Objeto 9;Desfavorável;1;22/05/2014;;Encerrado;Est;SP;5 VARA CÍVEL DE TAUBATÉ;0
ESP.004.433;Objeto 9;Desfavorável;2;22/05/2014;;Encerrado;Est;SP;5 VARA CÍVEL DE TAUBATÉ;0
ESP.004.433;Objeto 9;Desfavorável;3;22/05/2014;;Encerrado;Est;SP;5 VARA CÍVEL DE TAUBATÉ;0
ESP.004.434;Objeto 9;Favorável;1;22/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE PRAIA GRANDE;0
ESP.004.435;Objeto 11;Favorável;1;22/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE SÃO VICENTE;0
ESP.004.435;Objeto 8;Favorável;1;22/05/2014;;Ativo;Est;SP;1 VARA CÍVEL DE SÃO VICENTE;0
ESP.004.442;Objeto 11;Desfavorável;1;26/05/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.444;Objeto 25;Favorável;1;28/05/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SANTOS;0
ESP.004.444;Objeto 25;Desfavorável;2;28/05/2014;;Ativo;Est;SP;9 VARA CÍVEL DE SANTOS;0
ESP.004.447;Objeto 12;Desfavorável;1;29/05/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SANTOS;0
ESP.004.447;Objeto 12;Desfavorável;2;29/05/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SANTOS;0
ESP.004.453;Objeto 9;Favorável;1;02/06/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.453;Objeto 9;Favorável;2;02/06/2014;;Ativo;Est;SP;6 VARA CÍVEL DE SANTOS;0
ESP.004.455;Objeto 12;Favorável;1;03/06/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SÃO VICENTE;0
ESP.004.455;Objeto 12;Favorável;2;03/06/2014;;Ativo;Est;SP;5 VARA CÍVEL DE SÃO VICENTE;0
ESP.004.460;Objeto 11;Favorável;1;05/06/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.004.460;Objeto 12;Favorável;1;05/06/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.004.460;Objeto 11;Favorável;2;05/06/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
ESP.004.460;Objeto 12;Favorável;2;05/06/2014;;Ativo;Est;SP;2 VARA CÍVEL DE CUBATÃO;0
